SiteKey,Year,Month,DataStatus,AverageSolarGeneration,MaxSolarGeneration,MinSolarGeneration
1,2020,January,True,10.157125000000187,21.77799999999116,0.1010000000242144
2,2020,January,True,8.536874695863766,18.552999999985328,0.1000000000058207
3,2020,January,True,6.309834421365018,13.322000000014668,0.1030000000027939
4,2020,January,False,,,
5,2020,January,False,,,
6,2020,January,False,,,
7,2020,January,True,7.103032599118926,16.031200000026733,0.125
8,2020,January,False,,,
9,2020,January,True,1.109012811867819,2.00800000000163,0.1010000000023865
10,2020,January,True,4.159586848635064,7.747999999992317,0.1000000000058207
11,2020,January,False,,,
12,2020,January,True,8.463341019561335,17.593700000026733,0.125
13,2020,January,True,4.598804339250497,8.843800000002375,0.1093000000109896
14,2020,January,False,,,
15,2020,January,False,,,
16,2020,January,False,,,
17,2020,January,False,,,
18,2020,January,False,,,
19,2020,January,False,,,
20,2020,January,False,,,
21,2020,January,False,,,
22,2020,January,False,,,
23,2020,January,False,,,
24,2020,January,False,,,
25,2020,January,False,,,
26,2020,January,False,,,
27,2020,January,True,40.30685493140242,99.07030999999552,0.1015600000100676
28,2020,January,False,,,
29,2020,January,False,,,
30,2020,January,False,,,
31,2020,January,False,,,
32,2020,January,False,,,
33,2020,January,False,,,
34,2020,January,False,,,
35,2020,January,False,,,
36,2020,January,False,,,
37,2020,January,False,,,
38,2020,January,False,,,
39,2020,January,False,,,
40,2020,January,False,,,
41,2020,January,True,8.583093569321582,17.9375,0.125
42,2020,January,True,3.0014596649484653,6.281200000012177,0.1015000000043073
1,2020,February,True,10.55432790224046,21.752000000036787,0.1009999999660067
2,2020,February,True,8.875341329677857,18.519000000000236,0.1059999999997671
3,2020,February,True,6.653442424242342,13.397999999986494,0.1030000000027939
4,2020,February,False,,,
5,2020,February,False,,,
6,2020,February,False,,,
7,2020,February,True,6.9695064102566,16.031200000026733,0.125
8,2020,February,False,,,
9,2020,February,True,1.04305683563749,2.011000000005879,0.102999999995518
10,2020,February,True,4.07438105263155,7.742999999987661,0.1019999999844003
11,2020,February,False,,,
12,2020,February,True,8.292720715249807,17.593700000026733,0.125
13,2020,February,True,4.549826607989192,8.859400000015741,0.1093999999866355
14,2020,February,False,,,
15,2020,February,False,,,
16,2020,February,False,,,
17,2020,February,False,,,
18,2020,February,False,,,
19,2020,February,False,,,
20,2020,February,False,,,
21,2020,February,False,,,
22,2020,February,False,,,
23,2020,February,False,,,
24,2020,February,False,,,
25,2020,February,False,,,
26,2020,February,False,,,
27,2020,February,True,37.676225069252055,99.15629999997329,0.1093000000109896
28,2020,February,False,,,
